Overs,AUS_RPO,IND_RPO,AUS,IND
1,1,2,1,2
2,4,0,5,2
3,1,3,6,5
4,5,5,11,10
5,5,2,16,12
6,0,6,16,18
7,13,2,29,20
8,3,1,32,21
9,4,5,36,26
10,7,1,43,27
11,8,6,51,33
12,3,2,54,35
13,5,3,59,38
14,7,3,66,41
15,5,8,71,49
16,2,3,73,52
17,1,4,74,56
18,2,13,76,69
19,1,4,77,73
20,8,7,85,80
21,3,2,88,82
22,1,5,89,87
23,4,3,93,90
24,5,2,98,92
25,4,5,102,97
26,2,3,104,100
27,6,5,110,105
28,2,11,112,116
29,6,3,118,119
30,1,1,119,120
31,4,4,123,124
32,7,8,130,132
33,1,7,131,139
34,3,7,134,146
35,4,5,138,151
36,2,8,140,159
37,0,8,140,167
38,2,1,142,168
39,3,4,145,172
40,11,10,156,182
41,4,13,160,195
42,4,6,164,201
43,4,,168,
44,0,,168,
45,4,,172,
46,3,,175,
47,8,,183,
48,5,,188,
49,7,,195,
50,4,,199,
